admass
adventitious
adventitiously
allspice
altitude
amass
ambassador
ambassadorial
ambassadorship
ambassadress
antimacassar
antitank
antitheses
antithesis
antithetic
antithetical
antithetically
antitoxin
antitrades
appetite
aptitude
arsenal
arsenic
arsenical
aspic
assail
assailable
assailant
assassin
assassinate
assassination
assault
assault craft
assay
assayer
assegai
assemblage
assemble
assembly
assemblyman
assemblymen
assemblywoman
assemblywomen
assent
assert
assertion
assertive
assertively
assertiveness
assess
assessment
assessor
asset
asseverate
asseveration
assiduity
assiduous
assiduously
assign
assignable
assignation
assignment
assimilate
assimilation
assist
assistance
assistant
assize
assizes
assoc.
associate
association
assonance
assort
assorted
assortment
asst
assuage
assume
assumption
assurance
assure
assured
assuredly
attitude
attitudinize
auspices
auspicious
auspiciously
ballcock
bass
basset
bassinet
bassoon
beatitude
benedick
bipartite
brass
brassard
brasserie
brassiere
brassy
bypass
canvass
carcass
cassava
casserole
cassette
cassock
cassowary
catharses
certitude
chassis
chastity
class
classic
classical
classicalism
classically
classicism
classicist
classics
classifiable
classification
classified
classify
classless
classlessness
classmate
classroom
classy
clitoris
coarse
coarse fish
coarsely
coarsen
coarseness
cockade
cockatoo
cockchafer
cockcrow
cocker
cockerel
cockeyed
cockfight
cockfighting
cockhorse
cockiness
cockle
cockleshell
cockney
cockpit
cockroach
cockscomb
cocksure
cocktail
cocky
cocoon
compass
compassion
compassionate
compassionately
competition
competitive
competitively
competitiveness
competitor
conspicuous
conspicuously
conspicuousness
constituency
constituent
constitute
constitution
constitutional
constitutionalism
constitutionalist
constitutionalize
constitutionally
constitutive
contrabass
correctitude
crabgrass
crass
crassly
crassness
crevasse
cuirass
cuirassier
cutlass
cystitis
declassification
declassify
dermatitis
despicable
despicably
destitute
destitution
dickens
dicker
dicky
dickybird
disassociate
disembarrassment
dispassionate
dispassionately
dispassionateness
embarrass
embarrassing
embarrassingly
embarrassment
embassy
encompass
entitle
entitlement
entity
exactitude
eyeglass
eyeglasses
factitious
fibreglass
fictitious
fictitiously
fortitude
fricassee
gamecock
gassiness
gassy
glass
glassblower
glasscutter
glasses
glassful
glasshouse
glassware
glassworks
glassy
grass
grasshopper
grassland
grassroots
grassy
gratitude
harass
harassment
hassle
hassock
haycock
hearse
hematite
hemstitch
hepatitis
hoarse
hoarsely
hoarseness
hospice
hourglass
identity
impassable
impasse
impassion
impassioned
impassive
impassively
impassiveness
impassivity
inaptitude
inauspicious
inauspiciously
inauspiciousness
incertitude
inconspicuous
inconspicuously
inconspicuousness
ineptitude
inexactitude
ingratitude
institute
institution
institutional
institutionalize
investiture
isinglass
japan
japanese
jape
japonica
kvass
lass
lassie
lassitude
lasso
latitude
latitudes
latitudinal
latitudinarian
latitudinarianism
leafage
loci classici
lockstitch
marseillaise
mass
massacre
massage
masses
masseur
masseuse
massif
massive
massively
massiveness
massy
mastitis
mishit
molasses
moorcock
morass
multitude
multitudinous
multitudinously
multitudinousness
neoclassic
neoclassical
niggard
niggardliness
niggardly
nonassertive
nonassertively
nonentity
nuts
nutshell
outclass
overpass
pakistan
pakistani
palliasse
parse
parsee
partita
partite
partition
partitive
partitively
pass
pass.
passable
passably
passage
passageway
passbook
passe
passee
passenger
passepartout
passim
passing
passion
passionate
passionately
passionateness
passionflower
passionless
passionlessly
passive
passively
passiveness
passivity
passivization
passivize
passkey
passover
passport
password
peacock
peanuts
perspicacious
perspicaciously
perspicacity
perspicuity
perspicuous
perspicuously
perspicuousness
petit bourgeois
petite
petition
petitioner
pinprick
platitude
platitudinous
poofy
poppycock
potassium
practitioner
pricker
pricking
prickle
prickliness
prickly
promptitude
prostitute
prostitution
pussycat
pussyfoot
quantitative
quantitatively
quantity
quassia
raccoon
reassurance
reassure
reassuring
reassuringly
reconstitute
rectitude
rehearse
repetition
repetitious
repetitiousness
repetitive
restitution
saltwater
sanctities
sanctity
sandglass
sass
sassafras
sassenach
sassy
saturday
shebeen
shuttlecock
slagheap
snigger
sparse
sparsely
sparseness
spatchcock
spice
spicily
spiciness
spicy
spoof
spook
spooky
spyglass
stalactite
stitch
stopcock
sturdily
sturdiness
sturdy
substitute
substitution
subtitle
subtitles
sunglasses
superstition
superstitious
superstitiously
surpass
surpassing
surpassingly
surreptitious
surreptitiously
surreptitiousness
suspicion
suspicious
suspiciously
tassel
tasselled
titan
titanic
titanium
titbit
titfer
tithe
titillate
titillation
titivate
titlark
title
titled
titleholder
titmice
titmouse
titter
tittle
titular
tomtit
transvestite
trespass
trespasser
tripartite
turncock
twat
tycoon
unassuming
unassumingly
underpass
vassal
vassalage
wassail
weathercock
weatherglass
wharfage
windlass
wineglass
woodcock
wristwatch
